Name,Completion Status,Platforms,Sources
~Hack~ Dragon Ball Z Team Training,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Dragon Ball Z: Budokai Tenkaichi 4,2 - Not Played,PlayStation 2,RetroAchievements
~Hack~ Dragoon X Omega I - Gold Edition: Amnethen Apocalypse,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Dragoon X Omega II: Easy Mode,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Dragoon X Omega II: Easy Mode [Subset - Bonus],2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ EarthBound: Halloween Hack,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Easyland,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ EightBound Regal,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Eikro: The Children of Darloum,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ El Dorado,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ ELISE,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Elysium Shells,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Emote Challenge 64 2,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Epic Racers,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Ermii Kart DS: Legacy Edition,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Escape from the Jail: Definitive Edition,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Eternal Realm,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Extra Mario Bros.,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Fall Guys World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Filly Fantasy VI,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy ++,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Final Fantasy Elements,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Final Fantasy I & II: Mod of Balance,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Final Fantasy IV: Ultima,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy IV: Unprecedented Crisis,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy V: Whirlwind,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy V: Whirlwind [Subset - Bonus],2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Final Fantasy VI: A Soldier's Contingency",2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Final Fantasy VI: A Soldier's Contingency [Subset - Beast Hunter]",2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Final Fantasy VI: A Soldier's Contingency [Subset - Insane Mode]",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy VI: Brave New World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy VI: Brave New World [Subset - Berserker New World],2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy VI: Divergent Paths,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy VI: Return of the Dark Sorcerer,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy VI: T-Edition +EX,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Final Fantasy VII: Advent Children,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Finneon Accidentally Causes the End of the World,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Fire Emblem: Gilmore Girls,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Fire Emblem: Storge,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Fire Emblem: Vision Quest,2 - Not Played,Game Boy Advance,RetroAchievements
